C¢digos e Cores Douat X C¢digos Pantonne,
,
C¢digo - Cor Douat,C¢digo Pantonne
028 - Royal,18-3945 TP
059 - Marrom,19-0814 TP
102 - Luar,12-0825 TP
155 - Bordeaux,19-2014 TP
196 - Gren ,19-2024 TP
197 - Brasil,19-6026 TP
198 - Can rio,14-0957 TP
201 - Metal,18-0510 TP
202 - Prata,16-0806 TP
255 - VulcÆo,18-1764 TP
267 - Luvulita,19-3536 TP
568 - Royal Fit,18-4043 TP
571 - Metal Fit,19-0405 TP
627 - Vintage,16-4725 TP
703 - Deep Red,19-1840 TP
705 - Deep Purple,19-3518 TP
706 - Deep Green,19-0419 TP
708 - Laranja Luminoso,15-1364 TP
709 - Pink Luminoso,16-2164 TP
711 - Verde Luminoso,14-0264 TP
714 - Palo de Pito,17-1656 TP
717 - Cancun,18-2143 TP
722 - Rosa Gris,12-1605 TP
725 - Violeta Pastel,14-3710 TP
729 - Vermelho Rouge,19-1760 TP
732 - Natural,15-1309 TP
738 - Cinza Cendre,16-3802 TP
744 - Dag Fit,19-3935 TP
746 - Canoa,14-4811 TP
747 - Picol‚,16-1462 TP
748 - Chiclets,17-2624 TP
752 - Eros,17-5034 TP
754 - Ice,12-0704 TP
756 - Aventura,13-0220 TP
758 - Avatar,15-5728 TP
762 - Azul Litoral,18-4537 TP
764 - Babaloo,15-2216 TP
766 - Gros‚lia,17-2036 TP
769 - Summer,16-1664 TP
